id_registro,codigo_producto,categoria,laboratorio,ciudad,temporada,metodo_reabastecimiento,precio_unitario,costo_unitario,margen_unitario,stock_actual,stock_minimo,stock_maximo,demanda_promedio_diaria,desviacion_demanda,ventas_ultimos_30_dias,quiebres_stock_ultimos_6m,lead_time_dias,dias_para_vencer,descuento_activo,es_esencial,requiere_formula,categoria_consenso_cluster,confianza_consenso,categoria_reevaluada
1231,MED-2230,Antigripales,Roche,Barranquilla,Alta (Invierno),Automático (ML),60456.67,51239.52,9217.15,267,21,359,5.28,4.53,158,2,12,593,0,1,1,Dermatológicos,0.25,Antigripales
1232,MED-2231,Vitaminas,Abbott,Bogotá,Promoción,Manual,37952.84,26642.28,11310.56,217,33,122,35.82,9.98,1064,0,6,294,1,0,0,Pediatría,0.5,Vitaminas
1233,MED-2232,Antigripales,Roche,Barranquilla,Alta (Invierno),Proveedor Programado,14055.46,10756.04,3299.42,471,77,338,23.52,7.2,719,0,11,759,1,0,1,Dermatológicos,0.25,Antigripales
1234,MED-2233,Vitaminas,MK,Barranquilla,Alta (Invierno),Manual,37962.77,27454.3,10508.47,211,43,152,24.9,7.33,724,2,3,590,0,0,1,Dermatológicos,0.5,Vitaminas
1235,MED-2234,Antigripales,Abbott,Barranquilla,Normal,Proveedor Programado,3109.2,2300.78,808.42,72,38,244,15.89,3.53,489,3,11,548,0,0,0,Pediatría,0.75,Pediatría
1236,MED-2235,Cardiovasculares,Sanofi,Bogotá,Normal,Manual,24937.96,20548.98,4388.98,7,62,310,2.01,1.35,31,2,1,527,0,0,0,Pediatría,0.75,Pediatría
1237,MED-2236,Antibióticos,Tecnoquímicas,Medellín,Normal,Manual,71431.14,50950.7,20480.44,153,11,391,28.2,1.0,834,2,7,298,0,1,0,Pediatría,0.5,Antibióticos
1238,MED-2237,Antigripales,MK,Barranquilla,Promoción,Manual,64165.13,46366.98,17798.15,155,71,167,7.57,6.5,237,2,11,700,1,1,1,Pediatría,0.5,Antigripales
1239,MED-2238,Vitaminas,Genfar,Bogotá,Alta (Epidemia),Proveedor Programado,12943.5,10827.24,2116.26,196,20,112,23.67,7.7,724,0,2,796,0,0,0,Pediatría,0.5,Vitaminas
1240,MED-2239,Antibióticos,Novartis,Cali,Normal,Proveedor Programado,71856.31,48701.43,23154.88,8,74,182,9.25,5.79,277,1,11,465,1,0,0,Pediatría,0.5,Antibióticos
1241,MED-2240,Antigripales,Bayer,Medellín,Promoción,Automático (ML),38769.46,30512.63,8256.83,47,54,203,20.92,4.46,611,2,5,667,0,1,1,Cardiovasculares,0.5,Antigripales
1242,MED-2241,Antigripales,Sanofi,Bogotá,Promoción,Manual,18884.47,11972.51,6911.96,373,77,329,33.29,2.05,1003,1,2,456,0,0,0,Dermatológicos,0.5,Antigripales
1243,MED-2242,Dermatológicos,La Santé,Bogotá,Alta (Epidemia),Manual,53575.32,40902.14,12673.18,223,16,231,39.72,6.95,1172,1,8,825,1,0,0,Gastrointestinales,0.25,Dermatológicos
1244,MED-2243,Pediatría,MK,Medellín,Promoción,Proveedor Programado,47256.19,32229.94,15026.25,384,60,276,32.95,7.86,971,0,5,518,1,0,1,Antigripales,0.25,Pediatría
1245,MED-2244,Vitaminas,Tecnoquímicas,Cartagena,Alta (Epidemia),Automático (ML),31931.0,21410.87,10520.13,30,78,359,24.11,7.71,742,1,7,554,0,1,1,Dermatológicos,0.5,Vitaminas
1246,MED-2245,Gastrointestinales,Tecnoquímicas,Bogotá,Normal,Manual,23265.82,15926.08,7339.74,199,41,302,31.84,7.12,956,1,3,263,0,1,0,Pediatría,0.75,Pediatría
1247,MED-2246,Cardiovasculares,Abbott,Barranquilla,Normal,Manual,62177.43,43953.33,18224.1,496,36,426,28.04,2.88,867,7,12,694,1,1,0,Pediatría,0.75,Pediatría
1248,MED-2247,Antibióticos,La Santé,Medellín,Alta (Invierno),Automático (ML),77374.53,55584.51,21790.02,125,18,317,35.7,3.37,1083,0,11,707,1,1,1,Gastrointestinales,0.5,Antibióticos
1249,MED-2248,Cardiovasculares,Abbott,Barranquilla,Alta (Epidemia),Manual,65043.82,39176.58,25867.24,399,25,361,10.92,2.96,310,0,10,720,0,1,1,Pediatría,0.5,Cardiovasculares
1250,MED-2249,Higiene Personal,Abbott,Cartagena,Promoción,Proveedor Programado,22032.46,18582.99,3449.47,347,30,143,3.3,5.61,105,0,11,395,0,1,0,Pediatría,0.5,Higiene Personal
1251,MED-2250,Pediatría,Sanofi,Cartagena,Alta (Invierno),Proveedor Programado,71648.52,43121.72,28526.8,30,42,306,27.82,9.93,842,3,1,478,0,0,1,Pediatría,0.5,Pediatría
1252,MED-2251,Analgésicos,Genfar,Bogotá,Alta (Epidemia),Proveedor Programado,42432.0,28419.47,14012.53,31,16,276,29.36,8.39,882,0,8,498,1,0,0,Pediatría,0.5,Analgésicos
1253,MED-2252,Analgésicos,La Santé,Cali,Alta (Invierno),Automático (ML),66311.25,55069.96,11241.29,164,64,154,34.91,1.19,997,1,3,575,1,0,1,Antigripales,0.25,Analgésicos
1254,MED-2253,Antigripales,Genfar,Medellín,Normal,Proveedor Programado,26546.8,21800.25,4746.55,246,22,292,32.15,2.94,977,2,12,157,0,0,0,Pediatría,1.0,Pediatría
1255,MED-2254,Cardiovasculares,Bayer,Barranquilla,Alta (Epidemia),Manual,52524.75,43099.35,9425.4,362,62,163,21.13,3.79,612,3,8,243,0,0,1,Pediatría,0.75,Pediatría
1256,MED-2255,Pediatría,MK,Bogotá,Alta (Invierno),Automático (ML),14367.97,10258.97,4109.0,264,23,226,10.87,6.99,320,3,9,449,0,0,0,Pediatría,0.75,Pediatría
1257,MED-2256,Antibióticos,Bayer,Cartagena,Promoción,Manual,77159.83,48666.16,28493.67,427,68,167,25.13,8.46,767,0,12,631,0,1,0,Diabetes,0.5,Antibióticos
1258,MED-2257,Higiene Personal,Tecnoquímicas,Barranquilla,Promoción,Proveedor Programado,68922.03,45330.33,23591.7,189,63,285,23.63,8.94,704,2,3,610,1,1,0,Antigripales,0.25,Higiene Personal
1259,MED-2258,Dermatológicos,Pfizer,Medellín,Normal,Proveedor Programado,74929.27,48947.79,25981.48,149,20,182,30.09,6.45,909,2,6,466,0,0,0,Pediatría,0.5,Dermatológicos
1260,MED-2259,Analgésicos,Sanofi,Barranquilla,Promoción,Proveedor Programado,78484.8,59183.26,19301.54,370,49,333,25.17,3.22,778,1,9,111,1,1,0,Gastrointestinales,0.25,Analgésicos
1261,MED-2260,Cardiovasculares,MK,Cali,Normal,Proveedor Programado,76057.35,52425.52,23631.83,285,78,401,36.79,1.24,1122,6,8,591,1,0,0,Pediatría,0.75,Pediatría
1262,MED-2261,Cardiovasculares,Roche,Bogotá,Alta (Invierno),Automático (ML),33947.85,25856.36,8091.49,41,32,114,31.56,9.76,948,1,4,553,0,0,1,Pediatría,0.75,Pediatría
1263,MED-2262,Diabetes,La Santé,Barranquilla,Promoción,Manual,53314.37,41126.4,12187.97,196,78,347,36.07,3.71,1070,1,4,175,0,1,1,Antigripales,0.25,Diabetes
1264,MED-2263,Antigripales,Tecnoquímicas,Bogotá,Normal,Manual,3708.84,2410.95,1297.89,329,57,306,12.1,9.62,374,0,9,164,1,1,0,Pediatría,0.5,Antigripales
1265,MED-2264,Antigripales,Tecnoquímicas,Medellín,Normal,Manual,24856.15,15655.02,9201.13,380,12,153,8.86,3.04,261,1,5,412,0,0,1,Pediatría,0.5,Antigripales
1266,MED-2265,Antigripales,Novartis,Medellín,Normal,Manual,25099.24,20772.58,4326.66,249,68,312,26.43,5.13,791,2,10,126,1,0,0,Pediatría,0.5,Antigripales
1267,MED-2266,Pediatría,Abbott,Bogotá,Normal,Automático (ML),41553.64,35129.56,6424.08,148,10,312,31.13,3.02,922,1,9,820,0,1,0,Pediatría,0.75,Pediatría
1268,MED-2267,Gastrointestinales,Tecnoquímicas,Barranquilla,Alta (Invierno),Automático (ML),48084.58,33035.26,15049.32,278,55,217,19.08,6.25,588,2,10,482,1,1,0,Pediatría,0.5,Gastrointestinales
1269,MED-2268,Antibióticos,La Santé,Barranquilla,Normal,Proveedor Programado,47226.47,37407.67,9818.8,443,78,442,7.21,0.64,248,2,1,694,0,0,1,Pediatría,0.5,Antibióticos
1270,MED-2269,Diabetes,Roche,Bogotá,Alta (Epidemia),Manual,74917.64,47018.58,27899.06,112,32,217,11.35,3.64,298,0,1,62,0,1,0,Dermatológicos,0.25,Diabetes
1271,MED-2270,Antibióticos,Genfar,Medellín,Alta (Invierno),Proveedor Programado,4563.91,3379.74,1184.17,276,26,387,39.4,7.82,1123,3,2,89,0,1,1,Pediatría,0.75,Pediatría
1272,MED-2271,Vitaminas,La Santé,Cali,Alta (Epidemia),Proveedor Programado,64500.25,42096.82,22403.43,167,62,411,34.72,6.27,1073,2,8,847,1,0,1,Pediatría,0.5,Vitaminas
1273,MED-2272,Antigripales,Genfar,Cartagena,Normal,Manual,32495.84,24617.73,7878.11,29,74,147,6.72,9.72,218,1,10,647,1,0,0,Pediatría,0.5,Antigripales
1274,MED-2273,Vitaminas,Tecnoquímicas,Cartagena,Normal,Automático (ML),16721.12,10205.35,6515.77,87,59,211,38.79,7.1,1144,5,3,808,0,1,1,Pediatría,1.0,Pediatría
1275,MED-2274,Vitaminas,Tecnoquímicas,Medellín,Normal,Automático (ML),25361.64,17141.16,8220.48,130,77,469,22.95,2.87,663,1,11,688,1,1,0,Pediatría,0.5,Vitaminas
1276,MED-2275,Antibióticos,MK,Barranquilla,Alta (Epidemia),Automático (ML),27906.98,19196.71,8710.27,188,20,130,7.84,1.84,243,1,3,578,1,1,0,Pediatría,0.5,Antibióticos
1277,MED-2276,Antibióticos,Roche,Barranquilla,Normal,Automático (ML),78413.47,52101.16,26312.31,88,24,310,11.92,0.77,333,1,1,235,1,1,1,Pediatría,0.5,Antibióticos
1278,MED-2277,Pediatría,MK,Barranquilla,Alta (Epidemia),Proveedor Programado,27276.6,16778.87,10497.73,407,15,260,28.5,5.6,805,2,11,454,1,1,0,Pediatría,0.5,Pediatría
1279,MED-2278,Cardiovasculares,Novartis,Barranquilla,Alta (Epidemia),Proveedor Programado,25249.75,16038.28,9211.47,360,65,401,1.38,2.85,26,4,10,102,0,0,0,Pediatría,0.75,Pediatría
1280,MED-2279,Higiene Personal,Bayer,Medellín,Normal,Automático (ML),54879.82,38236.26,16643.56,242,26,221,20.36,4.99,632,1,11,342,1,0,1,Dermatológicos,0.25,Higiene Personal
1281,MED-2280,Antibióticos,Genfar,Barranquilla,Promoción,Proveedor Programado,30139.63,23917.09,6222.54,419,40,144,31.33,9.78,941,1,10,556,0,1,1,Pediatría,0.5,Antibióticos
1282,MED-2281,Diabetes,Novartis,Barranquilla,Normal,Manual,79658.56,59788.65,19869.91,39,39,226,22.91,4.62,664,2,3,501,0,0,1,Antigripales,0.25,Diabetes
1283,MED-2282,Cardiovasculares,Genfar,Barranquilla,Alta (Epidemia),Manual,35344.83,21747.2,13597.63,281,45,265,28.63,1.35,831,1,12,318,1,1,1,Pediatría,0.75,Pediatría
1284,MED-2283,Antigripales,Abbott,Bogotá,Alta (Epidemia),Automático (ML),14313.07,10638.67,3674.4,277,32,427,14.86,2.94,457,2,11,395,0,0,1,Pediatría,1.0,Pediatría
1285,MED-2284,Vitaminas,Genfar,Cali,Normal,Proveedor Programado,76698.56,46906.54,29792.02,232,53,249,16.16,1.63,475,3,14,32,1,0,1,Dermatológicos,0.25,Vitaminas
1286,MED-2285,Cardiovasculares,Abbott,Medellín,Normal,Manual,42900.24,31336.65,11563.59,184,76,159,1.34,0.52,27,2,6,312,0,1,1,Pediatría,0.5,Cardiovasculares
1287,MED-2286,Dermatológicos,MK,Bogotá,Alta (Invierno),Manual,29938.63,23668.33,6270.3,425,45,360,33.67,8.89,1003,0,7,420,1,1,0,Dermatológicos,0.5,Dermatológicos
1288,MED-2287,Dermatológicos,Abbott,Barranquilla,Alta (Invierno),Proveedor Programado,36930.33,28403.09,8527.24,61,19,349,17.59,8.96,537,3,10,506,1,0,0,Pediatría,0.75,Pediatría
1289,MED-2288,Antibióticos,Sanofi,Cali,Alta (Epidemia),Manual,76134.55,48567.5,27567.05,492,34,282,5.34,9.06,141,0,10,449,0,1,1,Dermatológicos,0.25,Antibióticos
1290,MED-2289,Diabetes,Abbott,Cartagena,Alta (Invierno),Proveedor Programado,67291.48,46407.96,20883.52,144,41,244,20.51,4.51,630,1,13,809,1,1,1,Gastrointestinales,0.5,Diabetes
1291,MED-2290,Analgésicos,Novartis,Cartagena,Alta (Invierno),Manual,18699.26,12094.01,6605.25,63,52,349,10.64,2.7,351,1,4,144,0,1,1,Pediatría,0.5,Analgésicos
1292,MED-2291,Analgésicos,MK,Barranquilla,Alta (Invierno),Automático (ML),78304.16,60761.14,17543.02,446,32,256,9.47,1.12,293,2,14,765,1,0,1,Dermatológicos,0.25,Analgésicos
1293,MED-2292,Dermatológicos,Novartis,Bogotá,Promoción,Manual,41594.92,32286.35,9308.57,90,66,457,17.82,4.62,528,0,13,109,1,0,0,Pediatría,0.5,Dermatológicos
1294,MED-2293,Antigripales,Genfar,Barranquilla,Alta (Invierno),Proveedor Programado,21379.96,14038.9,7341.06,484,57,124,18.08,7.87,535,0,11,475,1,0,1,Pediatría,0.5,Antigripales
1295,MED-2294,Antigripales,Genfar,Cartagena,Normal,Automático (ML),6760.8,5540.38,1220.42,279,22,196,32.57,9.61,978,0,13,193,1,0,1,Pediatría,0.75,Pediatría
1296,MED-2295,Dermatológicos,Novartis,Bogotá,Promoción,Proveedor Programado,68125.71,46397.86,21727.85,374,10,65,31.63,4.85,950,2,4,643,1,1,1,Pediatría,0.5,Dermatológicos
1297,MED-2296,Gastrointestinales,La Santé,Cartagena,Promoción,Proveedor Programado,78659.62,63078.93,15580.69,439,19,376,29.11,4.51,870,1,13,685,1,0,0,Gastrointestinales,0.5,Gastrointestinales
1298,MED-2297,Diabetes,Sanofi,Cali,Alta (Invierno),Proveedor Programado,10262.07,7255.61,3006.46,324,59,376,18.3,0.71,527,4,3,476,0,1,1,Cardiovasculares,0.5,Diabetes
1299,MED-2298,Dermatológicos,Sanofi,Cali,Normal,Manual,22863.75,18043.72,4820.03,222,62,271,35.12,7.21,1069,3,8,642,0,0,0,Dermatológicos,0.5,Dermatológicos
1300,MED-2299,Pediatría,Sanofi,Bogotá,Promoción,Proveedor Programado,5743.49,4789.58,953.91,438,49,361,9.06,3.73,272,2,9,420,0,1,0,Pediatría,1.0,Pediatría
1301,MED-2300,Dermatológicos,Sanofi,Medellín,Alta (Invierno),Automático (ML),26413.41,15904.54,10508.87,31,57,433,1.41,7.74,47,2,13,320,1,0,0,Pediatría,0.75,Pediatría
1302,MED-2301,Diabetes,Pfizer,Cali,Promoción,Automático (ML),26381.33,21756.2,4625.13,257,15,186,11.22,4.61,318,0,8,118,1,0,1,Pediatría,0.5,Diabetes
1303,MED-2302,Antigripales,Novartis,Cali,Alta (Epidemia),Proveedor Programado,55364.73,38854.48,16510.25,254,21,111,24.81,2.64,727,3,5,80,1,1,1,Pediatría,0.5,Antigripales
1304,MED-2303,Antigripales,Bayer,Barranquilla,Normal,Manual,25134.2,18177.53,6956.67,89,70,339,14.45,5.09,435,1,8,618,0,0,1,Pediatría,0.75,Pediatría
1305,MED-2304,Higiene Personal,Roche,Cali,Alta (Epidemia),Manual,38041.9,26129.63,11912.27,205,39,193,14.79,7.34,468,1,11,271,1,0,1,Pediatría,0.75,Pediatría
1306,MED-2305,Antigripales,Roche,Barranquilla,Normal,Proveedor Programado,67402.11,48172.12,19229.99,437,76,461,33.17,9.95,986,2,3,61,1,0,1,Dermatológicos,0.5,Antigripales
1307,MED-2306,Vitaminas,Sanofi,Cali,Alta (Invierno),Automático (ML),69253.16,50762.8,18490.36,499,75,257,5.46,7.53,175,1,13,860,0,0,0,Pediatría,0.5,Vitaminas
1308,MED-2307,Higiene Personal,Pfizer,Cartagena,Promoción,Proveedor Programado,71460.41,60622.74,10837.67,233,69,306,16.23,5.48,481,2,2,31,1,0,1,Pediatría,0.5,Higiene Personal
1309,MED-2308,Antigripales,Pfizer,Bogotá,Normal,Automático (ML),9199.78,6811.97,2387.81,497,61,133,3.86,4.35,106,2,5,854,0,0,0,Pediatría,0.5,Antigripales
1310,MED-2309,Pediatría,Novartis,Bogotá,Promoción,Manual,19865.95,12276.66,7589.29,392,78,388,27.41,9.5,832,2,4,333,0,1,1,Dermatológicos,0.25,Pediatría
1311,MED-2310,Vitaminas,Genfar,Medellín,Alta (Epidemia),Manual,4151.77,2548.2,1603.57,478,34,328,19.27,8.91,581,2,7,165,0,1,1,Pediatría,0.5,Vitaminas
1312,MED-2311,Analgésicos,Tecnoquímicas,Bogotá,Alta (Invierno),Proveedor Programado,20798.66,14528.75,6269.91,497,76,386,37.6,0.62,1140,1,6,194,0,0,0,Dermatológicos,0.25,Analgésicos
1313,MED-2312,Diabetes,Roche,Bogotá,Normal,Manual,39120.93,27646.67,11474.26,115,70,186,15.07,8.35,459,0,11,882,1,1,0,Pediatría,0.5,Diabetes
1314,MED-2313,Antibióticos,Pfizer,Barranquilla,Alta (Epidemia),Manual,40572.74,32195.1,8377.64,204,74,260,10.34,8.74,310,1,9,458,1,0,1,Pediatría,0.5,Antibióticos
1315,MED-2314,Analgésicos,Sanofi,Bogotá,Promoción,Proveedor Programado,17134.34,11500.95,5633.39,133,43,300,21.49,6.96,649,5,11,611,0,0,1,Pediatría,0.75,Pediatría
1316,MED-2315,Cardiovasculares,La Santé,Barranquilla,Alta (Invierno),Manual,45472.23,28598.76,16873.47,215,33,295,34.1,7.71,997,1,10,390,1,0,0,Pediatría,0.5,Cardiovasculares
1317,MED-2316,Pediatría,Roche,Bogotá,Normal,Automático (ML),29777.91,22927.53,6850.38,488,15,252,35.47,7.14,1041,0,12,285,1,1,0,Pediatría,0.5,Pediatría
1318,MED-2317,Vitaminas,Novartis,Cali,Normal,Manual,40109.71,24491.7,15618.01,138,26,254,39.32,2.22,1180,0,13,163,0,0,0,Pediatría,0.75,Pediatría
1319,MED-2318,Antigripales,La Santé,Bogotá,Alta (Invierno),Manual,59507.53,50503.35,9004.18,457,20,168,26.66,2.53,790,0,11,350,1,0,0,Diabetes,0.5,Antigripales
1320,MED-2319,Antibióticos,MK,Cali,Alta (Epidemia),Automático (ML),23923.87,18947.33,4976.54,63,57,385,25.61,5.38,755,2,8,397,0,0,1,Pediatría,0.5,Antibióticos
1321,MED-2320,Higiene Personal,Tecnoquímicas,Barranquilla,Promoción,Automático (ML),56730.96,41639.62,15091.34,492,36,225,3.6,9.03,83,2,13,192,1,0,1,Dermatológicos,0.25,Higiene Personal
1322,MED-2321,Vitaminas,Genfar,Cali,Promoción,Manual,28622.81,19153.45,9469.36,295,58,395,8.49,6.84,225,1,8,682,1,0,0,Pediatría,0.75,Pediatría
1323,MED-2322,Diabetes,Sanofi,Barranquilla,Promoción,Proveedor Programado,21960.26,17917.91,4042.35,365,23,217,21.76,7.8,678,2,2,720,1,1,0,Pediatría,0.5,Diabetes
1324,MED-2323,Pediatría,Sanofi,Barranquilla,Alta (Invierno),Proveedor Programado,66321.99,48850.77,17471.22,415,25,275,15.47,7.13,474,0,8,322,1,1,0,Dermatológicos,0.25,Pediatría
1325,MED-2324,Diabetes,MK,Bogotá,Alta (Epidemia),Proveedor Programado,4778.67,3484.26,1294.41,14,53,320,12.79,9.87,386,0,4,660,1,1,1,Pediatría,0.75,Pediatría
1326,MED-2325,Cardiovasculares,Bayer,Bogotá,Alta (Invierno),Automático (ML),45583.91,34743.17,10840.74,30,75,398,35.15,2.49,1032,0,13,478,1,0,1,Dermatológicos,0.5,Cardiovasculares
1327,MED-2326,Antigripales,Pfizer,Medellín,Alta (Epidemia),Automático (ML),70788.46,43384.48,27403.98,174,75,304,16.8,8.79,508,0,10,744,0,1,0,Pediatría,0.5,Antigripales
1328,MED-2327,Analgésicos,La Santé,Bogotá,Alta (Epidemia),Manual,29599.37,23392.91,6206.46,410,65,293,7.15,4.23,208,1,12,162,1,1,0,Pediatría,0.75,Pediatría
1329,MED-2328,Higiene Personal,Pfizer,Barranquilla,Alta (Epidemia),Proveedor Programado,32488.46,21147.13,11341.33,223,23,145,23.37,9.18,688,4,1,91,0,0,0,Pediatría,0.75,Pediatría
1330,MED-2329,Higiene Personal,Tecnoquímicas,Cartagena,Normal,Proveedor Programado,51111.38,43292.45,7818.93,111,41,188,31.93,4.28,928,1,13,77,1,1,1,Gastrointestinales,0.5,Higiene Personal
1331,MED-2330,Gastrointestinales,Genfar,Medellín,Normal,Automático (ML),49949.31,33395.45,16553.86,179,55,257,21.29,9.34,648,1,14,399,1,0,1,Gastrointestinales,0.5,Gastrointestinales
1332,MED-2331,Cardiovasculares,Pfizer,Bogotá,Promoción,Manual,7772.08,6388.81,1383.27,273,58,344,26.58,9.29,779,6,4,73,1,1,0,Cardiovasculares,0.5,Cardiovasculares
1333,MED-2332,Pediatría,Bayer,Cali,Normal,Proveedor Programado,40859.96,33429.7,7430.26,442,24,399,6.49,8.36,158,1,10,406,0,1,1,Pediatría,0.75,Pediatría
1334,MED-2333,Vitaminas,Sanofi,Bogotá,Normal,Automático (ML),46753.54,32709.07,14044.47,82,48,238,22.54,7.27,675,1,2,139,0,0,1,Dermatológicos,0.5,Vitaminas
1335,MED-2334,Antibióticos,Sanofi,Cali,Alta (Epidemia),Automático (ML),75708.7,53183.68,22525.02,283,55,132,26.7,7.49,772,0,4,417,1,1,0,Antigripales,0.25,Antibióticos
1336,MED-2335,Higiene Personal,La Santé,Barranquilla,Normal,Automático (ML),32687.2,27317.96,5369.24,460,19,405,4.41,9.3,162,2,11,294,1,1,1,Pediatría,0.75,Pediatría
1337,MED-2336,Antibióticos,La Santé,Cartagena,Normal,Manual,19222.97,15555.89,3667.08,298,16,337,16.85,7.44,470,3,9,98,0,0,0,Cardiovasculares,0.5,Antibióticos
1338,MED-2337,Vitaminas,Pfizer,Cali,Promoción,Manual,40405.38,29306.43,11098.95,161,69,222,16.1,9.11,492,1,8,813,0,0,0,Pediatría,0.5,Vitaminas
1339,MED-2338,Gastrointestinales,Novartis,Bogotá,Normal,Automático (ML),41371.0,33351.39,8019.61,139,25,383,11.87,4.24,395,3,4,695,0,0,0,Cardiovasculares,0.5,Gastrointestinales
1340,MED-2339,Dermatológicos,Pfizer,Cali,Alta (Epidemia),Proveedor Programado,65400.95,46233.59,19167.36,460,29,153,37.3,7.5,1120,3,2,525,1,1,0,Pediatría,0.5,Dermatológicos
1341,MED-2340,Vitaminas,Roche,Barranquilla,Normal,Manual,33403.99,25748.66,7655.33,60,25,303,9.4,6.14,300,0,11,150,1,0,1,Pediatría,0.5,Vitaminas
1342,MED-2341,Diabetes,Pfizer,Cartagena,Alta (Invierno),Proveedor Programado,39060.97,31852.54,7208.43,144,50,447,33.85,3.2,1032,0,6,778,1,1,1,Dermatológicos,0.25,Diabetes
1343,MED-2342,Gastrointestinales,Abbott,Medellín,Normal,Automático (ML),56146.23,43962.05,12184.18,235,58,178,13.33,7.75,363,3,7,750,1,0,1,Pediatría,0.5,Gastrointestinales
1344,MED-2343,Higiene Personal,Genfar,Medellín,Normal,Manual,74688.72,57626.7,17062.02,119,34,236,11.98,1.2,333,2,8,823,1,0,0,Dermatológicos,0.5,Higiene Personal
1345,MED-2344,Analgésicos,Genfar,Barranquilla,Promoción,Manual,75891.18,62999.83,12891.35,264,22,410,8.34,3.65,265,1,2,559,1,0,1,Cardiovasculares,0.5,Analgésicos
1346,MED-2345,Antigripales,Roche,Cartagena,Alta (Epidemia),Automático (ML),29792.22,19291.1,10501.12,310,49,290,32.55,4.8,979,1,4,187,1,0,0,Pediatría,0.5,Antigripales
1347,MED-2346,Vitaminas,Genfar,Cali,Promoción,Automático (ML),75596.02,50855.46,24740.56,113,38,230,10.6,6.86,359,2,4,346,0,1,0,Dermatológicos,0.25,Vitaminas
1348,MED-2347,Antibióticos,Tecnoquímicas,Barranquilla,Alta (Invierno),Proveedor Programado,22178.92,16478.05,5700.87,444,38,240,36.45,4.17,1095,4,6,490,1,0,0,Pediatría,0.75,Pediatría
1349,MED-2348,Diabetes,Pfizer,Bogotá,Alta (Invierno),Manual,21565.5,14138.3,7427.2,63,74,235,14.46,1.81,480,1,1,622,1,0,1,Pediatría,0.5,Diabetes
1350,MED-2349,Analgésicos,Abbott,Cartagena,Promoción,Automático (ML),5959.03,4221.71,1737.32,20,72,206,35.02,3.66,1054,2,3,899,1,0,0,Dermatológicos,0.5,Analgésicos
1351,MED-2350,Gastrointestinales,Sanofi,Medellín,Alta (Invierno),Automático (ML),62192.58,50959.75,11232.83,475,49,267,7.18,5.27,233,1,3,258,1,1,0,Dermatológicos,0.5,Gastrointestinales
1352,MED-2351,Diabetes,Tecnoquímicas,Cali,Normal,Manual,61182.07,47858.36,13323.71,125,37,322,9.0,7.11,279,2,14,692,1,1,0,Pediatría,0.5,Diabetes
1353,MED-2352,Dermatológicos,Genfar,Barranquilla,Alta (Invierno),Proveedor Programado,45046.2,36506.63,8539.57,328,41,293,30.99,6.84,932,1,1,502,1,1,1,Antigripales,0.25,Dermatológicos
1354,MED-2353,Antibióticos,Bayer,Medellín,Normal,Manual,61389.54,46823.08,14566.46,290,63,392,6.99,8.69,222,0,13,385,0,0,0,Pediatría,0.5,Antibióticos
1355,MED-2354,Pediatría,Tecnoquímicas,Medellín,Normal,Proveedor Programado,17289.68,11321.84,5967.84,66,66,148,24.56,9.91,753,3,6,409,0,1,0,Pediatría,0.75,Pediatría
1356,MED-2355,Pediatría,Sanofi,Barranquilla,Promoción,Manual,16956.89,14093.92,2862.97,465,15,104,13.25,3.08,408,1,4,829,0,1,1,Pediatría,0.75,Pediatría
1357,MED-2356,Antigripales,MK,Medellín,Alta (Epidemia),Proveedor Programado,34265.38,26361.86,7903.52,218,77,200,24.75,8.17,764,0,8,190,1,1,0,Dermatológicos,0.5,Antigripales
1358,MED-2357,Antibióticos,MK,Cartagena,Promoción,Proveedor Programado,17524.63,13534.6,3990.03,216,75,381,26.84,7.78,783,2,6,596,1,0,0,Dermatológicos,0.25,Antibióticos
1359,MED-2358,Gastrointestinales,Pfizer,Medellín,Alta (Invierno),Automático (ML),60195.96,38711.45,21484.51,67,25,141,34.76,1.93,1037,1,10,30,1,0,0,Gastrointestinales,0.25,Gastrointestinales
1360,MED-2359,Diabetes,Sanofi,Cali,Normal,Manual,64751.23,51044.97,13706.26,32,58,303,20.62,1.23,602,1,12,877,1,0,0,Pediatría,0.5,Diabetes
1361,MED-2360,Analgésicos,Roche,Cali,Promoción,Proveedor Programado,24431.18,15759.91,8671.27,145,25,307,16.32,6.86,471,1,14,37,0,1,0,Pediatría,1.0,Pediatría
1362,MED-2361,Diabetes,Pfizer,Bogotá,Normal,Proveedor Programado,65177.4,41310.09,23867.31,401,27,132,15.26,1.23,452,1,10,795,1,0,0,Dermatológicos,0.25,Diabetes
1363,MED-2362,Vitaminas,Pfizer,Bogotá,Alta (Epidemia),Proveedor Programado,75062.45,62971.18,12091.27,132,73,321,2.04,4.93,66,2,7,330,1,1,1,Pediatría,0.5,Vitaminas
1364,MED-2363,Gastrointestinales,Novartis,Cali,Promoción,Automático (ML),35271.09,26303.47,8967.62,389,20,278,36.23,0.58,1060,3,6,314,1,1,0,Pediatría,0.75,Pediatría
1365,MED-2364,Gastrointestinales,Tecnoquímicas,Cali,Promoción,Manual,48966.23,36345.75,12620.48,357,77,184,24.77,2.32,733,2,1,721,1,0,0,Cardiovasculares,0.5,Gastrointestinales
1366,MED-2365,Cardiovasculares,Genfar,Medellín,Alta (Epidemia),Automático (ML),78834.68,65258.08,13576.6,391,63,389,16.74,3.51,545,3,14,799,0,0,1,Pediatría,0.5,Cardiovasculares
